mp_name,party,gender,parliament
Gan Kim Yong,PAP,M,12
Gan Kim Yong,PAP,M,14
Gan Kim Yong,PAP,M,15
Gan Siow Huang,PAP,F,14
Gan Siow Huang,PAP,F,15
Gan Thiam Poh,PAP,M,14
Ganesh Rajaram,NMP,M,14
Gerald Giam Yean Song,WP,M,14
Gerald Giam Yean Song,WP,M,15
Gho Sze Kee,PAP,F,14
Gho Sze Kee,PAP,F,15
Goh Chok Tong,PAP,M,14
Goh Hanyan,PAP,F,14
Goh Hanyan,PAP,F,15
Goh Pei Ming,PAP,M,14
Goh Pei Ming,PAP,M,15
Grace Fu Hai Yien,PAP,F,11
Grace Fu Hai Yien,PAP,F,12
Grace Fu Hai Yien,PAP,F,13
Grace Fu Hai Yien,PAP,F,14
Grace Fu Hai Yien,PAP,F,15
Halimah Yacob,PAP,F,14
Hamid Razak,PAP,M,14
Hamid Razak,PAP,M,15
Hany Soh,PAP,F,14
Hany Soh,PAP,F,15
Haresh Singaraju,NMP,M,15
Hawazi Daipi,PAP,M,14
Hazel Poa,PSP,F,14
Hazlina Abdul Halim,PAP,F,14
Hazlina Abdul Halim,PAP,F,15
He Ting Ru,WP,F,14
He Ting Ru,WP,F,15
Heng Chee How,PAP,M,14
Heng Swee Keat,PAP,M,14
Hoon Hian Teck,NMP,M,14
Hri Kumar Nair,PAP,M,14
Inderjit Singh,PAP,M,14
Indranee Rajah,PAP,F,10
Indranee Rajah,PAP,F,11
Indranee Rajah,PAP,F,12
Indranee Rajah,PAP,F,13
Indranee Rajah,PAP,F,14
Indranee Rajah,PAP,F,15
Intan Azura Mokhtar,PAP,F,14
Irene Ng Phek Hoong,PAP,F,14
Irene Quay Siew Ching,NMP,F,14
Jackson Lam,PAP,M,14
Jackson Lam,PAP,M,15
Jamus Jerome Lim,WP,M,14
Jamus Jerome Lim,WP,M,15
Janet Ang,NMP,F,14
Janice Koh,NMP,F,14
Janil Puthucheary,PAP,M,12
Janil Puthucheary,PAP,M,13
Janil Puthucheary,PAP,M,14
Janil Puthucheary,PAP,M,15
Jasmin Lau,PAP,F,14
